date,close,open,high,low,volume,code,name
2026-06-01,2203000,2145000,2489000,2123000,224428,150,두산
2026-06-02,1918000,2115000,2168000,1810000,185772,150,두산
2026-06-04,1800000,1844000,1873000,1755000,118102,150,두산
2026-06-05,1740000,1748000,1769000,1605000,132916,150,두산
2026-06-08,1578000,1560000,1671000,1535000,131103,150,두산
2026-06-01,169900,170500,174600,167600,1733940,270,기아
2026-06-02,168800,171300,172700,163900,1440263,270,기아
2026-06-04,164300,166000,168000,162000,1477518,270,기아
2026-06-05,161100,162900,163000,154600,1077583,270,기아
2026-06-08,151400,149900,154700,149800,1305489,270,기아
2026-06-01,2363000,2299000,2398000,2296000,5602897,660,SK하이닉스
2026-06-02,2360000,2376000,2407000,2259000,5837216,660,SK하이닉스
2026-06-04,2298000,2284000,2327000,2262000,3941067,660,SK하이닉스
2026-06-05,2070000,2142000,2188000,2070000,5778751,660,SK하이닉스
2026-06-08,1911000,1856000,2072000,1855000,6610833,660,SK하이닉스
2026-06-01,604000,579000,632000,570000,282425,810,삼성화재
2026-06-02,641000,629000,649000,604000,215423,810,삼성화재
2026-06-04,730000,677000,757000,672000,443786,810,삼성화재
2026-06-05,695000,705000,728000,682000,343227,810,삼성화재
2026-06-08,670000,673000,692000,650000,181724,810,삼성화재
2026-06-01,750000,736000,783000,727000,2720257,5380,현대차
2026-06-02,729000,770000,772000,697000,2316547,5380,현대차
2026-06-04,700000,708000,727000,692000,1062671,5380,현대차
2026-06-05,700000,691000,715000,650000,1525982,5380,현대차
2026-06-08,639000,621000,664000,620000,1331906,5380,현대차
2026-06-01,413000,418000,426000,412000,530828,5490,POSCO홀딩스
2026-06-02,399000,405500,416500,392500,592760,5490,POSCO홀딩스
2026-06-04,402000,405000,412500,393000,481991,5490,POSCO홀딩스
2026-06-05,390000,401500,405000,375000,432637,5490,POSCO홀딩스
2026-06-08,359000,361000,368000,356000,411313,5490,POSCO홀딩스
2026-06-01,349000,319500,354500,319500,45052488,5930,삼성전자
2026-06-02,360500,360500,370000,342000,44720282,5930,삼성전자
2026-06-04,351500,349000,366000,348000,34771037,5930,삼성전자
2026-06-05,329000,333500,343000,325000,33725012,5930,삼성전자
2026-06-08,295500,293000,315500,292500,38929682,5930,삼성전자
2026-06-01,652000,679000,679000,650000,854997,6400,삼성SDI
2026-06-02,602000,641000,670000,595000,1018750,6400,삼성SDI
2026-06-04,607000,604000,624000,586000,466801,6400,삼성SDI
2026-06-05,568000,599000,601000,555000,542951,6400,삼성SDI
2026-06-08,503000,504000,525000,499500,624954,6400,삼성SDI
2026-06-01,2005000,2021000,2086000,1989000,1639739,9150,삼성전기
2026-06-02,1813000,1839000,1886000,1659000,1954960,9150,삼성전기
2026-06-04,1716000,1790000,1844000,1707000,1435204,9150,삼성전기
2026-06-05,1757000,1621000,1845000,1615000,1612482,9150,삼성전기
2026-06-08,1664000,1556000,1742000,1552000,1261953,9150,삼성전기
2026-06-01,404500,419000,427500,404500,218154,9540,HD한국조선해양
2026-06-02,383500,404000,404500,378000,412671,9540,HD한국조선해양
2026-06-04,379500,393000,398500,376500,306734,9540,HD한국조선해양
2026-06-05,379000,379500,385000,368000,274635,9540,HD한국조선해양
2026-06-08,358500,362000,374500,353000,246086,9540,HD한국조선해양
2026-06-01,267000,240000,281500,238500,2308079,10120,LS ELECTRIC
2026-06-02,241500,266500,266500,240000,1044368,10120,LS ELECTRIC
2026-06-04,239500,248000,248000,234500,681667,10120,LS ELECTRIC
2026-06-05,227000,232000,235000,217000,675315,10120,LS ELECTRIC
2026-06-08,208000,197600,214500,197600,690132,10120,LS ELECTRIC
2026-06-01,761000,770000,822000,742000,1822258,12330,현대모비스
2026-06-02,759000,763000,775000,698000,1212449,12330,현대모비스
2026-06-04,748000,721000,778000,713000,788548,12330,현대모비스
2026-06-05,697000,708000,723000,665000,935096,12330,현대모비스
2026-06-08,612000,605000,642000,602000,773309,12330,현대모비스
2026-06-01,1138000,1173000,1243000,1116000,338833,12450,한화에어로스페이스
2026-06-02,1070000,1111000,1115000,1044000,361504,12450,한화에어로스페이스
2026-06-04,1068000,1060000,1106000,1032000,351981,12450,한화에어로스페이스
2026-06-05,1049000,1060000,1069000,1021000,185271,12450,한화에어로스페이스
2026-06-08,1006000,955000,1018000,955000,223231,12450,한화에어로스페이스
2026-06-01,455000,444000,493500,440000,1005218,28260,삼성물산
2026-06-02,485500,464000,498000,441500,866619,28260,삼성물산
2026-06-04,535000,502000,565000,485000,1331923,28260,삼성물산
2026-06-05,460500,504000,504000,438000,837033,28260,삼성물산
2026-06-08,408500,400000,433000,400000,542410,28260,삼성물산
2026-06-01,410000,387000,420500,383000,669413,32830,삼성생명
2026-06-02,480000,421000,485000,412000,772311,32830,삼성생명
2026-06-04,438000,440000,457000,417000,1025694,32830,삼성생명
2026-06-05,412500,397000,420000,395500,509906,32830,삼성생명
2026-06-08,375500,350000,392500,349500,551825,32830,삼성생명
2026-06-01,657000,661000,690000,655000,212446,34730,SK
2026-06-02,668000,657000,670000,633000,218615,34730,SK
2026-06-04,668000,667000,693000,648000,217047,34730,SK
2026-06-05,625000,648000,648000,585000,281675,34730,SK
2026-06-08,572000,563000,595000,550000,240242,34730,SK
2026-06-01,271500,251000,304000,244500,14505895,35420,NAVER
2026-06-02,280500,285000,289500,244000,9275907,35420,NAVER
2026-06-04,267500,267500,275000,255000,3324373,35420,NAVER
2026-06-05,255500,254500,266500,245000,3143220,35420,NAVER
2026-06-08,279000,239500,294000,238500,10148390,35420,NAVER
2026-06-01,42700,43000,48500,41300,11795777,35720,카카오
2026-06-02,42550,43300,43300,41100,3434966,35720,카카오
2026-06-04,42000,41850,42750,41350,2029148,35720,카카오
2026-06-05,40250,41250,41500,39800,1968515,35720,카카오
2026-06-08,38600,37850,39800,37750,2625755,35720,카카오
2026-06-01,295500,302000,302500,288000,204303,36570,엔씨소프트
2026-06-02,338000,292500,343500,286000,841776,36570,엔씨소프트
2026-06-04,289500,309500,309500,287500,298337,36570,엔씨소프트
2026-06-05,281500,280000,284500,271500,139003,36570,엔씨소프트
2026-06-08,267000,256000,279000,256000,138672,36570,엔씨소프트
2026-06-01,124900,126300,130800,122600,1902393,42660,한화오션
2026-06-02,116000,122700,124700,116000,1919672,42660,한화오션
2026-06-04,115100,118300,119500,114200,1284204,42660,한화오션
2026-06-05,112200,113200,115700,109400,998501,42660,한화오션
2026-06-08,103100,101300,108300,101300,1260480,42660,한화오션
2026-06-01,92600,93200,96200,92600,1612094,55550,신한지주
2026-06-02,96400,96200,96400,91800,1391336,55550,신한지주
2026-06-04,100100,96800,102000,95500,2050259,55550,신한지주
2026-06-05,107500,106200,109800,102500,3611830,55550,신한지주
2026-06-08,97100,104700,104900,96500,2158180,55550,신한지주
2026-06-01,380500,375000,380500,358500,5176636,66570,LG전자
2026-06-02,392500,423000,438000,330000,10466703,66570,LG전자
2026-06-04,328000,358000,361000,328000,4294026,66570,LG전자
2026-06-05,303000,320000,336000,294500,6066192,66570,LG전자
2026-06-08,268000,255000,292500,254500,4274007,66570,LG전자
2026-06-01,191700,191400,194500,189100,858959,68270,셀트리온
2026-06-02,187900,190500,191700,185700,707360,68270,셀트리온
2026-06-04,176500,181200,181900,174000,581517,68270,셀트리온
2026-06-05,171400,179700,179800,169900,603099,68270,셀트리온
2026-06-08,159400,160700,164200,158500,761456,68270,셀트리온
2026-06-01,113900,114400,118100,113600,1160822,86790,하나금융지주
2026-06-02,117000,114800,117000,112500,935421,86790,하나금융지주
2026-06-04,120600,116900,122900,115900,974778,86790,하나금융지주
2026-06-05,123600,125700,126400,120100,1115521,86790,하나금융지주
2026-06-08,112400,121000,122100,111000,1086413,86790,하나금융지주
2026-06-01,152100,149100,155500,149100,1706556,105560,KB금융
2026-06-02,156600,155800,156900,150000,1307922,105560,KB금융
2026-06-04,164200,156600,165900,154600,2143129,105560,KB금융
2026-06-05,171600,171500,175700,166000,2955491,105560,KB금융
2026-06-08,151500,168900,169500,150000,2364470,105560,KB금융
2026-06-01,1377000,1356000,1400000,1344000,67442,207940,삼성바이오로직스
2026-06-02,1367000,1363000,1401000,1350000,54844,207940,삼성바이오로직스
2026-06-04,1350000,1375000,1383000,1342000,69504,207940,삼성바이오로직스
2026-06-05,1340000,1377000,1408000,1329000,47701,207940,삼성바이오로직스
2026-06-08,1243000,1268000,1295000,1228000,78137,207940,삼성바이오로직스
2026-06-01,249500,257500,262500,248000,157492,259960,크래프톤
2026-06-02,252000,250000,254500,238000,186785,259960,크래프톤
2026-06-04,254500,265000,268000,244500,222114,259960,크래프톤
2026-06-05,257500,260500,262500,247500,138011,259960,크래프톤
2026-06-08,244500,249000,256500,242000,138292,259960,크래프톤
2026-06-01,216000,220500,224500,214500,412193,352820,하이브
2026-06-02,213500,213500,216500,206500,288857,352820,하이브
2026-06-04,215000,210500,216500,204000,218800,352820,하이브
2026-06-05,209500,213000,216000,206000,154998,352820,하이브
2026-06-08,197400,196000,201000,195000,313075,352820,하이브
2026-06-01,455000,469500,476000,446000,778389,373220,LG에너지솔루션
2026-06-02,442500,458500,497500,438000,1496902,373220,LG에너지솔루션
2026-06-04,422000,448000,463000,413500,708012,373220,LG에너지솔루션
2026-06-05,414000,422500,428500,405500,445122,373220,LG에너지솔루션
2026-06-08,388500,388500,404000,383000,422550,373220,LG에너지솔루션
2026-06-01,1256000,1249000,1289000,1210000,1130316,402340,SK스퀘어
2026-06-02,1346000,1281000,1375000,1212000,1086778,402340,SK스퀘어
2026-06-04,1361000,1347000,1392000,1293000,858305,402340,SK스퀘어
2026-06-05,1258000,1332000,1334000,1225000,883256,402340,SK스퀘어
2026-06-08,1118000,1110000,1200000,1102000,882659,402340,SK스퀘어
